instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
1,2011-01-01,1,0,1,0,6,0,2,344.167,363.625,805.833,160.446,331,654,985
2,2011-01-02,1,0,1,0,0,0,2,363.478,353.739,696.087,248.539,131,670,801
3,2011-01-03,1,0,1,0,1,1,1,196.364,189.405,437.273,248.309,120,1229,1349
4,2011-01-04,1,0,1,0,2,1,1,0.2,212.122,590.435,160.296,108,1454,1562
5,2011-01-05,1,0,1,0,3,1,1,226.957,22.927,436.957,1.869,82,1518,1600
6,2011-01-06,1,0,1,0,4,1,1,204.348,233.209,518.261,895.652,88,1518,1606
7,2011-01-07,1,0,1,0,5,1,2,196.522,208.839,498.696,168.726,148,1362,1510
8,2011-01-08,1,0,1,0,6,0,2,165,162.254,535.833,266.804,68,891,959
9,2011-01-09,1,0,1,0,0,0,1,138.333,116.175,434.167,36.195,54,768,822
10,2011-01-10,1,0,1,0,1,1,1,150.833,150.888,482.917,223.267,41,1280,1321
11,2011-01-11,1,0,1,0,2,1,2,169.091,191.464,686.364,122.132,43,1220,1263
12,2011-01-12,1,0,1,0,3,1,1,172.727,160.473,599.545,304.627,25,1137,1162
13,2011-01-13,1,0,1,0,4,1,1,165,150.883,470.417,301,38,1368,1406
14,2011-01-14,1,0,1,0,5,1,1,16.087,188.413,537.826,126.548,54,1367,1421
15,2011-01-15,1,0,1,0,6,0,2,233.333,248.112,49.875,157.963,222,1026,1248
16,2011-01-16,1,0,1,0,0,0,1,231.667,234.217,48.375,188.433,251,953,1204
17,2011-01-17,1,0,1,1,1,0,2,175.833,176.771,5.375,194.017,117,883,1000
18,2011-01-18,1,0,1,0,2,1,2,216.667,232.333,861.667,146.775,9,674,683
19,2011-01-19,1,0,1,0,3,1,2,292.174,298.422,741.739,208.317,78,1572,1650
20,2011-01-20,1,0,1,0,4,1,2,261.667,25.505,538.333,195.904,83,1844,1927
21,2011-01-21,1,0,1,0,5,1,1,1.775,157.833,457.083,353.242,75,1468,1543
22,2011-01-22,1,0,1,0,6,0,1,591.304,790.696,0.4,17.197,93,888,981
23,2011-01-23,1,0,1,0,0,0,1,965.217,988.391,436.522,2.466,150,836,986
24,2011-01-24,1,0,1,0,1,1,1,973.913,11.793,491.739,15.833,86,1330,1416
25,2011-01-25,1,0,1,0,2,1,2,223.478,234.526,616.957,129.796,186,1799,1985
26,2011-01-26,1,0,1,0,3,1,3,2.175,2.036,8.625,29.385,34,472,506
27,2011-01-27,1,0,1,0,4,1,1,195,2.197,6.875,113.837,15,416,431
28,2011-01-28,1,0,1,0,5,1,2,203.478,223.317,793.043,1.233,38,1129,1167
29,2011-01-29,1,0,1,0,6,0,1,196.522,212.126,651.739,145.365,123,975,1098
30,2011-01-30,1,0,1,0,0,0,1,216.522,250.322,722.174,739.826,140,956,1096
31,2011-01-31,1,0,1,0,1,1,2,180.833,18.625,60.375,187.192,42,1459,1501
32,2011-02-01,1,0,2,0,2,1,2,192.174,23.453,829.565,53.213,47,1313,1360
33,2011-02-02,1,0,2,0,3,1,2,0.26,254.417,775.417,264.308,72,1454,1526
34,2011-02-03,1,0,2,0,4,1,1,186.957,177.878,437.826,277.752,61,1489,1550
35,2011-02-04,1,0,2,0,5,1,2,211.304,228.587,585.217,127.839,88,1620,1708
36,2011-02-05,1,0,2,0,6,0,2,233.333,243.058,929.167,161.079,100,905,1005
37,2011-02-06,1,0,2,0,0,0,1,285.833,291.671,568.333,1.418,354,1269,1623
38,2011-02-07,1,0,2,0,1,1,1,271.667,303.658,738.333,454.083,120,1592,1712
39,2011-02-08,1,0,2,0,2,1,1,220.833,198.246,537.917,36.195,64,1466,1530
40,2011-02-09,1,0,2,0,3,1,2,134.783,144.283,494.783,188.839,53,1552,1605
41,2011-02-10,1,0,2,0,4,1,1,144.348,149.548,437.391,221.935,47,1491,1538
42,2011-02-11,1,0,2,0,5,1,1,189.091,213.509,506.364,10.855,149,1597,1746
43,2011-02-12,1,0,2,0,6,0,1,2.225,232.954,544.167,203.367,288,1184,1472
44,2011-02-13,1,0,2,0,0,0,1,316.522,324.113,457.391,260.883,397,1192,1589
45,2011-02-14,1,0,2,0,1,1,1,415,39.835,375.833,417.908,208,1705,1913
46,2011-02-15,1,0,2,0,2,1,1,266.087,254.274,314.348,291.374,140,1675,1815
47,2011-02-16,1,0,2,0,3,1,1,318.261,3.162,423.478,251.791,218,1897,2115
48,2011-02-17,1,0,2,0,4,1,1,435.833,428.658,505,230.104,259,2216,2475
49,2011-02-18,1,0,2,0,5,1,1,521.667,511.983,516.667,264.925,579,2348,2927
50,2011-02-19,1,0,2,0,6,0,1,399.167,391.404,187.917,507.463,532,1103,1635
51,2011-02-20,1,0,2,0,0,0,1,285.217,27.733,407.826,223.235,639,1173,1812
52,2011-02-21,1,0,2,1,1,0,2,303.333,284.075,605,307.846,195,912,1107
53,2011-02-22,1,0,2,0,2,1,1,182.222,186.033,577.778,195.683,74,1376,1450
54,2011-02-23,1,0,2,0,3,1,1,221.739,245.717,423.043,94.113,139,1778,1917
55,2011-02-24,1,0,2,0,4,1,2,295.652,289.191,697.391,250.496,100,1707,1807
56,2011-02-25,1,0,2,0,5,1,2,364.348,350.461,712.174,346.539,120,1341,1461
57,2011-02-26,1,0,2,0,6,0,1,2.825,282.192,537.917,186.571,424,1545,1969
58,2011-02-27,1,0,2,0,0,0,1,343.478,351.109,0.68,125.248,694,1708,2402
59,2011-02-28,1,0,2,0,1,1,2,407.273,400.118,876.364,289.686,81,1365,1446
60,2011-03-01,1,0,3,0,2,1,1,266.667,263.879,535,216.425,137,1714,1851
61,2011-03-02,1,0,3,0,3,1,1,335,320.071,449.583,307.833,231,1903,2134
62,2011-03-03,1,0,3,0,4,1,1,198.333,200.133,318.333,225.754,123,1562,1685
63,2011-03-04,1,0,3,0,5,1,2,261.667,255.679,610.417,203.346,214,1730,1944
64,2011-03-05,1,0,3,0,6,0,2,384.167,378.779,789.167,251.871,640,1437,2077
65,2011-03-06,1,0,3,0,0,0,2,376.522,366.252,948.261,343.287,114,491,605
66,2011-03-07,1,0,3,0,1,1,1,261.739,238.461,551.304,341.352,244,1628,1872
67,2011-03-08,1,0,3,0,2,1,1,2.925,3.024,420.833,12.065,316,1817,2133
68,2011-03-09,1,0,3,0,3,1,2,295.833,286.608,775.417,22.015,191,1700,1891
69,2011-03-10,1,0,3,0,4,1,3,389.091,385.668,0,261.877,46,577,623
70,2011-03-11,1,0,3,0,5,1,2,316.522,305,649.565,23.297,247,1730,1977
71,2011-03-12,1,0,3,0,6,0,1,329.167,32.575,594.583,220.775,724,1408,2132
72,2011-03-13,1,0,3,0,0,0,1,384.348,380.091,527.391,270.604,982,1435,2417
73,2011-03-14,1,0,3,0,1,1,1,325.217,332,496.957,136.926,359,1687,2046
74,2011-03-15,1,0,3,0,2,1,2,317.391,318.178,655.652,184.309,289,1767,2056
75,2011-03-16,1,0,3,0,3,1,2,365.217,36.693,776.522,203.117,321,1871,2192
76,2011-03-17,1,0,3,0,4,1,1,415,410.333,602.917,209.579,424,2320,2744
77,2011-03-18,1,0,3,0,5,1,1,0.54,527.009,525.217,231.017,884,2355,3239
78,2011-03-19,1,0,3,0,6,0,1,4.725,466.525,379.167,368.167,1424,1693,3117
79,2011-03-20,1,0,3,0,0,0,1,3.325,32.575,47.375,207.721,1047,1424,2471
80,2011-03-21,2,0,3,0,1,1,2,430.435,409.735,737.391,288.783,401,1676,2077
81,2011-03-22,2,0,3,0,2,1,1,441.667,440.642,624.583,22.575,460,2243,2703
82,2011-03-23,2,0,3,0,3,1,2,346.957,337.939,839.565,234.261,203,1918,2121
